role,company,location,start,end,bullets
Embedded ML Engineer,Nuvoton,"San Jose, CA",Aug 2024,Present,"Built scalable data pipelines with Python/NumPy/Pandas; Deployed TF/TFLite audio models and cut RAM ~21% via quantization; Implemented C++ inference architecture for multi-model deployment; Automated experiments with standardized metrics and confusion matrices; Established model lineage, config emission, and CI/CD with GitHub Actions"
Machine Learning Engineer Intern,Nuvoton,"San Jose, CA",May 2024,Aug 2024,Raised on-device accuracy 49%→90% with TF and rigorous evaluation; Built YAML-driven pipeline with checksums for reproducibility; Applied int8 quantization and memory profiling for latency and footprint; Automated end-to-end CI/CD to on-device tests; Engineered C++ harness and Python evaluator with nightly monitoring
Machine Learning Intern,Yandex,Remote,May 2023,Aug 2023,Automated Pandas/NumPy pipelines processing 1M+ records daily; Unified preprocessing for train/validation via CI/CD; Built dashboards to expose sampling bias and monitor drift; Automated remote servers with Bash/Cron and logging; Authored standardized preprocessing docs and workshop
